Intercept,resample_scaled,seconds,timesteps,epochs,units_avg,units_span,units_step,batch,batch_log2,model_LSTM,model_nan,ds_11e12apr25→2025-05-12 11:53:00,ds_11e12apr25→2025-05-13 15:50:36,ds_11e12apr25→2025-05-13 16:39:07,ds_11e12apr25→2025-05-13 17:02:53,ds_11e12apr25→2025-05-13 17:28:04,ds_11e12apr25→2025-05-14 22:43:12,ds_11e12apr25→2025-05-15 11:28:41,ds_11e12apr25→2025-05-15 15:40:24,ds_11e12apr25→2025-05-15 20:03:04,ds_11e12apr25→2025-05-16 09:01:40,ds_11e12apr25→2025-05-16 09:36:54,ds_11e12apr25→2025-05-16 10:20:34,ds_11e12apr25→2025-05-16 22:00:39,ds_11e12apr25→2025-05-16 22:39:02,ds_11e12apr25→2025-05-16 23:33:00,ds_11e12apr25→2025-05-17 00:18:11,ds_11e12apr25→2025-05-17 08:26:03,ds_11e12apr25→2025-05-17 14:09:55,ds_11e12apr25→2025-05-17 14:56:07,ds_11e12apr25→2025-05-20 21:46:17,ds_11e12apr25→2025-05-20 23:10:21,ds_11e12apr25→2025-05-21 08:42:47,ds_11e12apr25→2025-05-21 09:35:44,ds_11e12apr25→2025-05-21 10:26:50,ds_11e12apr25→2025-05-21 11:52:52,ds_11e12apr25→2025-05-21 12:25:05,ds_11e12apr25→2025-05-21 14:00:14,ds_11e12apr25→2025-05-21 15:04:41,ds_11e12apr25→2025-05-21 16:56:17,ds_11e12apr25→2025-05-21 22:10:55,ds_11e12apr25→2025-05-21 23:13:22,ds_11e12apr25→2025-05-22 06:48:11,ds_11e12apr25→2025-05-22 11:01:15,ds_11e12apr25→2025-08-01 08:25:53,ds_11e12apr25→2025-08-01 14:44:46,ds_nan→NaT,timesteps:units_avg,resample_scaled:seconds
1.0,0.0,4.0,60.0,20.0,136.0,240.0,16.0,256.0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8160.0,0.0
1.0,0.0,3.0,60.0,150.0,136.0,240.0,16.0,256.0,8.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,0.0
1.0,0.0,3.0,60.0,150.0,136.0,240.0,16.0,256.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,0.0
1.0,0.0,4.0,60.0,150.0,520.0,1008.0,16.0,256.0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31200.0,0.0
1.0,0.0,4.0,60.0,50.0,520.0,1008.0,16.0,256.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,31200.0,0.0
1.0,-1.0,3.0,60.0,150.0,136.0,240.0,16.0,256.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,-3.0
1.0,0.0,4.0,60.0,150.0,136.0,240.0,16.0,256.0,8.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,0.0
1.0,0.0,4.0,60.0,50.0,520.0,1008.0,16.0,256.0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,31200.0,0.0
1.0,-1.0,4.0,60.0,150.0,136.0,240.0,16.0,256.0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,-4.0
1.0,1.0,4.0,60.0,50.0,136.0,240.0,16.0,256.0,8.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8160.0,4.0
