model,Z-Score_Composite,train_dataset,exp_dataset,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,best_layers,best_activation,best_optimizer,train_time_m,train_time_h,pred_time_m,step1_mae,step1_mse,step1_rmse,step1_r2,multi_mae,multi_mse,multi_rmse,multi_r2,Z_TIME,Z-MAE@1,Z-RMSE@1,Z-RMSE@1.1,Z-R²@1,Z-MAE@H,Z-MSE@H,Z-RMSE@H,Z-R²@H,__source__,_dataset_id_,Z_Composite_std
LSTM,15.06852256,11e12apr25,2025-08-01 14:44:46,80.0,4.0,48.0,60.0,20.0,16-256:16,256.0,2.0,elu,Nadam,43.95,0.7325,14.05,1.2741,2.499,1.5808,0.8617,0.0149,0.0144,0.0183,0.9174,-0.1191427734,-2.601078022,-2.117239706,-2.706736011,2.172070638,-1.734315841,-0.9195445312,-1.850596543,0.847798492,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-08-01 14:44:46,0.0
LSTM,8.486639127,11e12apr25,2025-05-16 09:01:40,80.0,3.0,36.0,60.0,150.0,16-256:16,256.0,1.0,elu,nadam,18.13,0.3022,1.71,1.6011,4.6001,2.1448,0.7248,0.0213,0.0252,0.0273,0.9197,-0.4389486897,-1.452183004,-0.9902308855,-1.074310374,0.9749566243,-0.9520402541,-0.8298238642,-0.8958301734,0.8783152572,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 09:01:40,0.0
GRU,7.784435397,11e12apr25,2025-05-16 09:36:54,80.0,3.0,36.0,60.0,150.0,16-256:16,256.0,2.0,tanh,rmsprop,11.5,0.1917,1.74,1.6433,4.3486,2.0853,0.7399,0.0248,0.0324,0.0304,0.9002,-0.5210677147,-1.303915818,-1.125132946,-1.24652549,1.106997688,-0.5242332925,-0.7700100862,-0.5669662019,0.6195861604,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 09:36:54,0.0
LSTM,7.800167933,11e12apr25,2025-05-20 21:46:17,80.0,4.0,48.0,60.0,150.0,16-1024:16,256.0,1.0,elu,rmsprop,72.64,1.2107,1.69,1.7203,4.8758,2.2081,0.7066,0.0188,0.0288,0.0238,0.9386,0.2362108957,-1.033380905,-0.8423481899,-0.8910966461,0.8158077927,-1.257616655,-0.7999169752,-1.267128206,1.129083459,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-20 21:46:17,0.0
GRU,6.960613463,11e12apr25,2025-05-21 10:26:50,80.0,4.0,48.0,60.0,50.0,16-1024:16,256.0,2.0,elu,Nadam,41.26,0.6877,1.97,1.8231,5.3555,2.3142,0.6777,0.0191,0.0288,0.0239,0.9384,-0.1524610505,-0.6721992296,-0.5850419546,-0.5840038091,0.5630934393,-1.220947487,-0.7999169752,-1.256519691,1.126429827,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 10:26:50,0.0
GRU,5.838505276,11e12apr25,2025-05-16 10:20:34,40.0,3.0,75.0,60.0,150.0,16-256:16,256.0,2.0,tanh,rmsprop,56.55,0.9425,3.78,1.8138,4.9999,2.236,0.7104,0.0235,0.06,0.0289,0.9127,0.03692053197,-0.7048742255,-0.7757822033,-0.8103436758,0.8490366697,-0.6831330211,-0.5407239373,-0.7260939301,0.7854381456,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 10:20:34,0.0
GRU,5.80399425,11e12apr25,2025-05-13 17:02:53,80.0,4.0,48.0,60.0,150.0,16-256:16,256.0,2.0,elu,Nadam,22.27,0.3712,1.84,1.8847,5.6757,2.3824,0.6586,0.0209,0.0336,0.026,0.9266,-0.3876707465,-0.4557712995,-0.4132899084,-0.3866076594,0.3960746105,-1.000932478,-0.7600411232,-1.033740871,0.969865553,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-13 17:02:53,0.0
LSTM,4.992704835,11e12apr25,2025-05-21 09:35:44,80.0,4.0,48.0,60.0,50.0,16-1024:16,256.0,1.0,elu,rmsprop,33.26,0.5543,1.75,1.784,5.049,2.247,0.6965,0.0266,0.0528,0.0325,0.8857,-0.2515488635,-0.8095747502,-0.7494454592,-0.7785055871,0.7274889356,-0.3042182838,-0.6005377153,-0.3441873824,0.4271978577,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 09:35:44,0.0
LSTM,3.966287995,11e12apr25,2025-05-12 11:18:33,40.0,4.0,100.0,60.0,150.0,16-256:16,256.0,1.0,elu,rmsprop,8.92,0.1487,,1.8785,5.6085,2.3682,0.6736,0.0259,0.1,0.0319,0.8931,-0.5530235343,-0.4775546301,-0.4493353097,-0.4277077375,0.5272412299,-0.3897796761,-0.2084251708,-0.4078384737,0.5253822329,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-12 11:18:33,0.0
LSTM,3.802565854,11e12apr25,2025-05-14 22:43:12,120.0,4.0,32.0,60.0,50.0,16-256:16,256.0,2.0,tanh,Nadam,7.55,0.1258,1.15,1.7802,5.2891,2.2998,0.6708,0.0293,0.0416,0.0363,0.8574,-0.5699923223,-0.8229258238,-0.620658244,-0.6256827615,0.5027567943,0.02580422943,-0.6935813699,0.05893619562,0.05170896336,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-14 22:43:12,0.0
