term,coef,std_err,t_stat,p_value
Intercept,0.0,0.0,,
resample_scaled,0.0,0.0,,
seconds,0.0,0.0,,
timesteps,0.0,0.0,,
epochs,0.0,0.0,,
units_avg,0.0,0.0,,
units_span,0.0,0.0,,
units_step,0.0,0.0,,
batch,0.0,0.0,,
batch_log2,0.0,0.0,,
model_LSTM,0.0,0.0,,
model_nan,0.0,0.0,,
ds_11e12apr25→2025-05-12 11:53:00,0.0,0.0,,
ds_11e12apr25→2025-05-13 15:50:36,0.0,0.0,,
ds_11e12apr25→2025-05-13 16:39:07,0.0,0.0,,
ds_11e12apr25→2025-05-13 17:02:53,0.0,0.0,,
ds_11e12apr25→2025-05-13 17:28:04,0.0,0.0,,
ds_11e12apr25→2025-05-14 22:43:12,0.0,0.0,,
ds_11e12apr25→2025-05-15 11:28:41,0.0,0.0,,
ds_11e12apr25→2025-05-15 15:40:24,0.0,0.0,,
ds_11e12apr25→2025-05-15 20:03:04,0.0,0.0,,
ds_11e12apr25→2025-05-16 09:01:40,0.0,0.0,,
ds_11e12apr25→2025-05-16 09:36:54,0.0,0.0,,
ds_11e12apr25→2025-05-16 10:20:34,0.0,0.0,,
ds_11e12apr25→2025-05-16 22:00:39,0.0,0.0,,
ds_11e12apr25→2025-05-16 22:39:02,0.0,0.0,,
ds_11e12apr25→2025-05-16 23:33:00,0.0,0.0,,
ds_11e12apr25→2025-05-17 00:18:11,0.0,0.0,,
ds_11e12apr25→2025-05-17 08:26:03,0.0,0.0,,
ds_11e12apr25→2025-05-17 14:09:55,0.0,0.0,,
ds_11e12apr25→2025-05-17 14:56:07,0.0,0.0,,
ds_11e12apr25→2025-05-20 21:46:17,0.0,0.0,,
ds_11e12apr25→2025-05-20 23:10:21,0.0,0.0,,
ds_11e12apr25→2025-05-21 08:42:47,0.0,0.0,,
ds_11e12apr25→2025-05-21 09:35:44,0.0,0.0,,
ds_11e12apr25→2025-05-21 10:26:50,0.0,0.0,,
ds_11e12apr25→2025-05-21 11:52:52,0.0,0.0,,
ds_11e12apr25→2025-05-21 12:25:05,0.0,0.0,,
ds_11e12apr25→2025-05-21 14:00:14,0.0,0.0,,
ds_11e12apr25→2025-05-21 15:04:41,0.0,0.0,,
ds_11e12apr25→2025-05-21 16:56:17,0.0,0.0,,
ds_11e12apr25→2025-05-21 22:10:55,0.0,0.0,,
ds_11e12apr25→2025-05-21 23:13:22,0.0,0.0,,
ds_11e12apr25→2025-05-22 06:48:11,0.0,0.0,,
ds_11e12apr25→2025-05-22 11:01:15,0.0,0.0,,
ds_11e12apr25→2025-08-01 08:25:53,0.0,0.0,,
ds_11e12apr25→2025-08-01 14:44:46,0.0,0.0,,
ds_nan→NaT,0.0,0.0,,
timesteps:units_avg,0.0,0.0,,
resample_scaled:seconds,0.0,0.0,,
