_key_,_seconds_,Z_by_seconds,_composite_base_,__file__,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,_forecast_steps_derived_
LSTM|80.0|4.0|60.0|20.0|16-256:16|256.0,4.0,2.071911994446648,15.06852256,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-256:16,256.0,50
LSTM|80.0|3.0|60.0|150.0|16-256:16|256.0,3.0,0.9970029911003132,8.486639127,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,3.0,60.0,150.0,16-256:16,256.0,38
GRU|80.0|3.0|60.0|150.0|16-256:16|256.0,3.0,0.3701116385911436,7.784435397,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,3.0,60.0,150.0,16-256:16,256.0,38
LSTM|80.0|4.0|60.0|150.0|16-1024:16|256.0,4.0,1.0077574697570817,7.800167933,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,150.0,16-1024:16,256.0,50
GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,0.8848389092543993,6.960613463,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
GRU|40.0|3.0|60.0|150.0|16-256:16|256.0,3.0,-1.367114629691456,5.838505276,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,3.0,60.0,150.0,16-256:16,256.0,75
GRU|80.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.7154991298929657,5.80399425,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,150.0,16-256:16,256.0,50
LSTM|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,0.5967188355746431,4.992704835,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
LSTM|40.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.4464418911275342,3.966287995,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,4.0,60.0,150.0,16-256:16,256.0,100
LSTM|120.0|4.0|60.0|50.0|16-256:16|256.0,4.0,0.42247145131302494,3.802565854,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,120.0,4.0,60.0,50.0,16-256:16,256.0,33
GRU|40.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.4135120223136267,3.741371445,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,4.0,60.0,150.0,16-256:16,256.0,100
LSTM|40.0|6.0|60.0|150.0|16-256:16|256.0,6.0,0.853093156615801,3.507905348,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,6.0,60.0,150.0,16-256:16,256.0,150
GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,0.36376663593679326,3.401602078,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
GRU|80.0|6.0|60.0|150.0|16-256:16|256.0,6.0,0.8815801592771186,3.633666196,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,6.0,60.0,150.0,16-256:16,256.0,75
LSTM|80.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.10948841092536157,1.664838976,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,150.0,16-256:16,256.0,50
LSTM|80.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,0.07060130994578057,1.399233527,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-1024:16,256.0,50
LSTM|80.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,0.18659392849489848,2.191482647,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-1024:16,256.0,50
LSTM|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-0.12834402270195097,0.04040339893,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
GRU|40.0|6.0|60.0|150.0|16-256:16|256.0,6.0,-0.16359567844165962,-0.9804450611,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,6.0,60.0,150.0,16-256:16,256.0,150
GRU|80.0|4.0|60.0|150.0|16-1024:16|256.0,4.0,0.3018391031030838,2.978626599,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,150.0,16-1024:16,256.0,50
LSTM|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.7287066704313603,-1.140254196,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|80.0|8.0|60.0|150.0|16-256:16|256.0,8.0,1.4548157417584227,-0.3565986034,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,8.0,60.0,150.0,16-256:16,256.0,100
LSTM|40.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-0.3922486567417978,-1.762109698,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,4.0,60.0,20.0,16-1024:16,256.0,100
GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.33440529196676894,-2.49576382,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-0.4239622542295944,-1.97871891,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
GRU|80.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.6499803421690449,-1.410895643,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,10.0,60.0,150.0,16-256:16,256.0,125
GRU|40.0|8.0|60.0|150.0|16-256:16|256.0,8.0,0.39791401290192296,-4.774741791,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,8.0,60.0,150.0,16-256:16,256.0,200
GRU|40.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-0.6977404511067454,-3.848670104,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,4.0,60.0,20.0,16-1024:16,256.0,100
