term,coef,abscoef
resample_scaled,1.3388757001117428,1.3388757001117428
batch_log2,-0.8169911145981523,0.8169911145981523
resample_scaled:seconds,-0.21345047879176313,0.21345047879176313
seconds,-0.1466152186297349,0.1466152186297349
timesteps,0.13222113999854818,0.13222113999854818
model_GRU,0.10366679512143663,0.10366679512143663
model_LSTM,-0.10123017928328487,0.10123017928328487
units_avg,0.03166944079253708,0.03166944079253708
batch_log2:model_GRU,-0.0071496803318699285,0.0071496803318699285
Intercept,0.0024366158381523106,0.0024366158381523106
