term,coef,abscoef
batch_log2,-0.6833287151534047,0.6833287151534047
timesteps,0.11137621699931737,0.11137621699931737
model_GRU,0.08039825017477502,0.08039825017477502
model_LSTM,-0.0784222820560989,0.0784222820560989
batch_log2:model_GRU,-0.05595045870461343,0.05595045870461343
resample_scaled:seconds,0.04182171097864543,0.04182171097864543
units_avg,0.016273957496132804,0.016273957496132804
resample_scaled,0.01045542774467463,0.01045542774467463
seconds,0.00790387247470762,0.00790387247470762
Intercept,0.0019759681186763277,0.0019759681186763277
