,,_key_,Z_by_seconds
3s,1,LSTM|80.0|3.0|60.0|150.0|16-256:16|256.0,0.9970029911003132
3s,2,GRU|80.0|3.0|60.0|150.0|16-256:16|256.0,0.3701116385911436
3s,5,GRU|40.0|3.0|60.0|150.0|16-256:16|256.0,-1.367114629691456
4s,0,LSTM|80.0|4.0|60.0|20.0|16-256:16|256.0,2.071911994446648
4s,3,LSTM|80.0|4.0|60.0|150.0|16-1024:16|256.0,1.0077574697570817
4s,4,GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,0.8848389092543993
4s,6,GRU|80.0|4.0|60.0|150.0|16-256:16|256.0,0.7154991298929657
4s,7,LSTM|80.0|4.0|60.0|50.0|16-1024:16|256.0,0.5967188355746431
4s,8,LSTM|40.0|4.0|60.0|150.0|16-256:16|256.0,0.4464418911275342
4s,9,LSTM|120.0|4.0|60.0|50.0|16-256:16|256.0,0.42247145131302494
4s,10,GRU|40.0|4.0|60.0|150.0|16-256:16|256.0,0.4135120223136267
4s,12,GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,0.36376663593679326
4s,19,GRU|80.0|4.0|60.0|150.0|16-1024:16|256.0,0.3018391031030838
6s,13,GRU|80.0|6.0|60.0|150.0|16-256:16|256.0,0.8815801592771186
6s,11,LSTM|40.0|6.0|60.0|150.0|16-256:16|256.0,0.853093156615801
6s,18,GRU|40.0|6.0|60.0|150.0|16-256:16|256.0,-0.16359567844165962
6s,29,LSTM|80.0|6.0|60.0|150.0|16-256:16|256.0,-1.5710776374512598
8s,21,GRU|80.0|8.0|60.0|150.0|16-256:16|256.0,1.4548157417584227
8s,26,GRU|40.0|8.0|60.0|150.0|16-256:16|256.0,0.39791401290192296
8s,32,LSTM|80.0|8.0|60.0|150.0|16-256:16|256.0,-0.8597622348665022
8s,31,LSTM|40.0|8.0|60.0|150.0|16-256:16|256.0,-0.9929675197938433
10s,20,LSTM|40.0|10.0|60.0|150.0|16-256:16|256.0,0.7287066704313603
10s,25,GRU|80.0|10.0|60.0|150.0|16-256:16|256.0,0.6499803421690449
10s,23,GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,0.33440529196676894
10s,33,LSTM|80.0|10.0|60.0|150.0|16-256:16|256.0,-1.7130923045671742
