,,_key_,Z_by_seconds
3s,1,LSTM|80.0|3.0|60.0|150.0|16-256:16|256.0,0.6744907594765952
3s,2,GRU|80.0|3.0|60.0|150.0|16-256:16|256.0,0.0
3s,5,GRU|40.0|3.0|60.0|150.0|16-256:16|256.0,-1.8691326023028574
4s,0,LSTM|80.0|4.0|60.0|20.0|16-256:16|256.0,3.1005910448435303
4s,3,LSTM|80.0|4.0|60.0|150.0|16-1024:16|256.0,1.3504842330698206
4s,4,GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,1.1483325670869897
4s,6,GRU|80.0|4.0|60.0|150.0|16-256:16|256.0,0.86983663957951
4s,7,LSTM|80.0|4.0|60.0|50.0|16-1024:16|256.0,0.6744907594765952
4s,8,LSTM|40.0|4.0|60.0|150.0|16-256:16|256.0,0.4273455394662335
4s,9,LSTM|120.0|4.0|60.0|50.0|16-256:16|256.0,0.3879237928803021
4s,10,GRU|40.0|4.0|60.0|150.0|16-256:16|256.0,0.37318913042512547
4s,12,GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,0.2913779483716467
4s,19,GRU|80.0|4.0|60.0|150.0|16-1024:16|256.0,0.18953202793990173
6s,13,GRU|80.0|6.0|60.0|150.0|16-256:16|256.0,0.6928744795807465
6s,11,LSTM|40.0|6.0|60.0|150.0|16-256:16|256.0,0.6561070393724437
6s,18,GRU|40.0|6.0|60.0|150.0|16-256:16|256.0,-0.6561070393724439
6s,29,LSTM|80.0|6.0|60.0|150.0|16-256:16|256.0,-2.4727077322358104
8s,21,GRU|80.0|8.0|60.0|150.0|16-256:16|256.0,1.634957294100117
8s,26,GRU|40.0|8.0|60.0|150.0|16-256:16|256.0,0.6098945076140788
8s,32,LSTM|80.0|8.0|60.0|150.0|16-256:16|256.0,-0.6098945076140788
8s,31,LSTM|40.0|8.0|60.0|150.0|16-256:16|256.0,-0.7390870113391117
10s,20,LSTM|40.0|10.0|60.0|150.0|16-256:16|256.0,0.8091597812974795
10s,25,GRU|80.0|10.0|60.0|150.0|16-256:16|256.0,0.539821737655711
10s,23,GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,-0.539821737655711
10s,33,LSTM|80.0|10.0|60.0|150.0|16-256:16|256.0,-7.544708275412006
