_key_,_seconds_,Z_by_seconds,_composite_base_,__file__,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,_forecast_steps_derived_
LSTM|80.0|4.0|60.0|20.0|16-256:16|256.0,4.0,3.1005910448435303,15.06852256,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-256:16,256.0,50
LSTM|80.0|3.0|60.0|150.0|16-256:16|256.0,3.0,0.6744907594765952,8.486639127,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,3.0,60.0,150.0,16-256:16,256.0,38
GRU|80.0|3.0|60.0|150.0|16-256:16|256.0,3.0,0.0,7.784435397,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,3.0,60.0,150.0,16-256:16,256.0,38
LSTM|80.0|4.0|60.0|150.0|16-1024:16|256.0,4.0,1.3504842330698206,7.800167933,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,150.0,16-1024:16,256.0,50
GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,1.1483325670869897,6.960613463,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
GRU|40.0|3.0|60.0|150.0|16-256:16|256.0,3.0,-1.8691326023028574,5.838505276,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,3.0,60.0,150.0,16-256:16,256.0,75
GRU|80.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.86983663957951,5.80399425,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,150.0,16-256:16,256.0,50
LSTM|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,0.6744907594765952,4.992704835,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
LSTM|40.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.4273455394662335,3.966287995,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,4.0,60.0,150.0,16-256:16,256.0,100
LSTM|120.0|4.0|60.0|50.0|16-256:16|256.0,4.0,0.3879237928803021,3.802565854,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,120.0,4.0,60.0,50.0,16-256:16,256.0,33
GRU|40.0|4.0|60.0|150.0|16-256:16|256.0,4.0,0.37318913042512547,3.741371445,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,4.0,60.0,150.0,16-256:16,256.0,100
LSTM|40.0|6.0|60.0|150.0|16-256:16|256.0,6.0,0.6561070393724437,3.507905348,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,6.0,60.0,150.0,16-256:16,256.0,150
GRU|80.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,0.2913779483716467,3.401602078,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,50.0,16-1024:16,256.0,50
GRU|80.0|6.0|60.0|150.0|16-256:16|256.0,6.0,0.6928744795807465,3.633666196,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,6.0,60.0,150.0,16-256:16,256.0,75
LSTM|80.0|4.0|60.0|150.0|16-256:16|256.0,4.0,-0.12680760960270251,1.664838976,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,150.0,16-256:16,256.0,50
LSTM|80.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-0.1907612730373904,1.399233527,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-1024:16,256.0,50
LSTM|80.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,0.0,2.191482647,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,20.0,16-1024:16,256.0,50
LSTM|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-0.5179464456409187,0.04040339893,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
GRU|40.0|6.0|60.0|150.0|16-256:16|256.0,6.0,-0.6561070393724439,-0.9804450611,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,6.0,60.0,150.0,16-256:16,256.0,150
GRU|80.0|4.0|60.0|150.0|16-1024:16|256.0,4.0,0.18953202793990173,2.978626599,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,150.0,16-1024:16,256.0,50
LSTM|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.8091597812974795,-1.140254196,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|80.0|8.0|60.0|150.0|16-256:16|256.0,8.0,1.634957294100117,-0.3565986034,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,8.0,60.0,150.0,16-256:16,256.0,100
LSTM|40.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-0.9519635803484158,-1.762109698,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,4.0,60.0,20.0,16-1024:16,256.0,100
GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,-0.539821737655711,-2.49576382,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-1.004119711531933,-1.97871891,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
