term,coef,abscoef
batch_log2,-1.1238132107018126,1.1238132107018126
timesteps,0.17808493264472092,0.17808493264472092
model_GRU,0.13212457541926573,0.13212457541926573
model_LSTM,-0.1289761358315696,0.1289761358315696
batch_log2:model_GRU,-0.09200412404925541,0.09200412404925541
resample_scaled:seconds,0.06877991829721374,0.06877991829721374
units_avg,0.024521088673661387,0.024521088673661387
resample_scaled,0.017194979574325475,0.017194979574325475
seconds,0.012593758350789245,0.012593758350789245
Intercept,0.003148439587696365,0.003148439587696365
