_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ
GRU|100.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0326066353656365,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,2048.0,-0.34891908562458085,1.3815257209902172
GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8400556902883437,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,8192.0,0.737661654236022,0.10239403605232167
LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,1.1084203013411524,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,LSTM,100.0,10.0,120.0,150.0,64-256:64,2048.0,0.3594516734147252,0.7489686279264272
GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.800700767354863,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,120.0,150.0,64-256:64,8192.0,0.7066840276063767,0.09401673974848623
GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,1.0943033545423144,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,8192.0,0.6651714301708622,0.4291319243714522
GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6170687042299924,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,60.0,150.0,16-64:16,1024.0,0.7843080995816066,-0.16723939535161425
LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6031975242061732,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,2048.0,0.6492761347557613,-0.04607861054958806
GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.5649748343208033,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,1024.0,0.5060024208905639,0.0589724134302394
GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.8815792770776021,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,1024.0,0.8000707766479285,0.08150850042967361
LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.5042214338197891,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,1024.0,0.5277575780493691,-0.023536144229579947
