,,_key_,robust_score,Z_AB,Z_BA
3s,1,GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,0.737661654236022,0.8400556902883437,0.737661654236022
3s,3,GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,0.7066840276063767,0.800700767354863,0.7066840276063767
3s,5,GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,0.6170687042299924,0.6170687042299924,0.7843080995816066
3s,6,LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,0.6031975242061732,0.6031975242061732,0.6492761347557613
3s,7,GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,0.5060024208905639,0.5649748343208033,0.5060024208905639
3s,9,LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,0.5042214338197891,0.5042214338197891,0.5277575780493691
3s,10,GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,0.45867853519431157,0.45867853519431157,0.5662836794906136
3s,14,GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,0.4014097047313385,0.4014097047313385,0.8219872023400093
3s,15,LSTM|100.0|3.0|60.0|20.0|64-256:64|2048.0,0.3653650571913434,0.3653650571913434,0.5628474991519541
3s,11,LSTM|40.0|3.0|120.0|20.0|64-256:64|2048.0,0.3395042688987891,0.45129290614899015,0.3395042688987891
10s,8,GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,0.8000707766479285,0.8815792770776021,0.8000707766479285
10s,22,GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,0.6741449138979702,0.6741449138979702,0.703676901899737
10s,4,GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,0.6651714301708622,1.0943033545423144,0.6651714301708622
10s,13,LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,0.5831106041155466,0.8095837069094532,0.5831106041155466
10s,29,LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,0.5037956896408308,0.5037956896408308,0.5818095840793194
10s,32,GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,0.47886494693847886,0.47886494693847886,0.6798387314108206
10s,36,LSTM|100.0|10.0|120.0|20.0|64-256:64|8192.0,0.3685868438498092,0.3685868438498092,0.6402045853343585
10s,2,LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,0.3594516734147252,1.1084203013411524,0.3594516734147252
10s,39,LSTM|100.0|10.0|60.0|150.0|16-64:16|8192.0,0.29686134602314734,0.29686134602314734,0.804074974805621
10s,26,GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,0.28983487635358174,0.5960325754512493,0.28983487635358174
