_key_,_dataset_id_,_seconds_,Z_1112,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ,Score_robusto,d1112,d1211
GRU|100.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0326066353656365,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,2048.0,-0.34891908562458085,1.3815257209902172,0.48680847694341517,0.6656118888885224,0.4421076239571384
GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8400556902883437,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,8192.0,0.737661654236022,0.10239403605232167,0.6237117101178061,0.6364611306768039,0.6205243549780567
LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,1.1084203013411524,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,LSTM,100.0,10.0,120.0,150.0,64-256:64,2048.0,0.3594516734147252,0.7489686279264272,0.5830519548436026,0.6767655222571071,0.5596235629902265
GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.800700767354863,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,120.0,150.0,64-256:64,8192.0,0.7066840276063767,0.09401673974848623,0.6185933739360698,0.630369083898049,0.6156494464455751
GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,1.0943033545423144,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,8192.0,0.6651714301708622,0.4291319243714522,0.6222048474907179,0.6747033482757986,0.6090802222944478
GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6170687042299924,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,60.0,150.0,16-64:16,1024.0,0.7843080995816066,-0.16723939535161425,0.6066986401166314,0.6014185236774691,0.6278191058732805
LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6031975242061732,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,2048.0,0.6492761347557613,-0.04607861054958806,0.6006706088991979,0.5991997118980156,0.6065541969039271
GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.5649748343208033,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,1024.0,0.5060024208905639,0.0589724134302394,0.5854473726079013,0.593064843598734,0.5835430048601931
GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.8815792770776021,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,1024.0,0.8000707766479285,0.08150850042967361,0.6327853199446386,0.6428417263405566,0.6302712183456591
LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.5042214338197891,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,1024.0,0.5277575780493691,-0.023536144229579947,0.5840162078517633,0.583254431945387,0.5870633114772686
GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.45867853519431157,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,1024.0,0.5662836794906136,-0.10760514429630208,0.5793400932088028,0.5758562640062184,0.5932754100191405
LSTM|40.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.45129290614899015,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,LSTM,40.0,3.0,120.0,20.0,64-256:64,2048.0,0.3395042688987891,0.11178863725020105,0.5600056168410091,0.5746532110490339,0.5563437182890029
GRU|100.0|10.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.8325231009251812,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,GRU,100.0,10.0,120.0,20.0,16-64:16,1024.0,-0.8098362182501433,1.6423593191753245,0.42163006951500853,0.6352984175659566,0.36821298250227147
LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.8095837069094532,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,256.0,0.5831106041155466,0.22647310279390664,0.6031331231535539,0.6317478551195518,0.5959794401620545
GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.4014097047313385,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,256.0,0.8219872023400093,-0.4205774976086708,0.5799380563313788,0.5665052026981249,0.6336694708643947
LSTM|100.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.3653650571913434,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,2048.0,0.5628474991519541,-0.1974824419606107,0.5670204114170715,0.5605948827866258,0.5927225259388542
LSTM|100.0|3.0|60.0|150.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.35801026928900936,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,60.0,150.0,64-256:64,8192.0,-1.0065285794234498,1.364538848712459,0.382492302592475,0.5593867315166153,0.33826869536143994
GRU|40.0|3.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.327287811431586,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,60.0,150.0,64-256:64,256.0,-0.17796611964441134,0.5052539310759974,0.4871654967129786,0.5543325853208068,0.4703737245610216
GRU|100.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.3123694133400116,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,256.0,0.7853450074062027,-0.4729755940661911,0.5670955129028363,0.5518742371890829,0.62798061575785
LSTM|100.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.27508410955545276,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,1024.0,1.0064126457160179,-0.731328536160565,0.5689182316961174,0.5457192886724277,0.6617140037908766
LSTM|40.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.26376603168082974,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,LSTM,40.0,3.0,60.0,20.0,16-64:16,256.0,-0.017557798745599887,0.2813238304264296,0.5064286023947486,0.5438480774935498,0.4970737336200483
LSTM|40.0|3.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.25108572747130187,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,2048.0,0.5419624776865698,-0.29087675021526793,0.5512715660629082,0.5417501815463738,0.5893571041290457
GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.6741449138979702,Result_2DS_1112DS_FatFrac_agpd.xlsx,250,GRU,40.0,10.0,60.0,150.0,16-64:16,2048.0,0.703676901899737,-0.029531988001766818,0.6114379437400872,0.6105036891491499,0.6151749621038366
LSTM|100.0|10.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.6599571219854956,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,LSTM,100.0,10.0,60.0,150.0,16-64:16,1024.0,0.1866627409784314,0.4732943810070642,0.5465067410499209,0.6082522194104127,0.531070371459798
GRU|40.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.2170228393466115,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,2048.0,0.1985206159595124,0.018502223387099115,0.5336523488655103,0.5361075090984105,0.5330385588072852
GRU|40.0|3.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.1372267705853214,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,8192.0,-0.6606402324904365,0.7978670030757579,0.41788245477138747,0.522855190270566,0.39163927089659284
GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.5960325754512493,Result_2DS_1112DS_FatFrac_agpd.xlsx,250,GRU,40.0,10.0,120.0,20.0,64-256:64,2048.0,0.28983487635358174,0.3061976990976676,0.5581352668909877,0.5980520169778004,0.5481560793692845
LSTM|40.0|10.0|120.0|20.0|16-64:16|8192.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.532499057056072,Result_2DS_1112DS_FatFrac_agpd.xlsx,250,LSTM,40.0,10.0,120.0,20.0,16-64:16,8192.0,-3.347003305334,3.8795023623900717,0.19514317927572478,0.5878293861744455,0.09697162755104456
GRU|40.0|3.0|120.0|150.0|16-64:16|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.025093316004157182,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,120.0,150.0,16-64:16,256.0,0.05170804019711332,-0.02661472419295614,0.5050691281192423,0.5041821218020557,0.5086171533879892
LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.5037956896408308,Result_2DS_1112DS_FatFrac_agpd.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,2048.0,0.5818095840793194,-0.0780138944384886,0.585702467439433,0.5831854402596223,0.595770576158676
LSTM|100.0|3.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.005158828450740143,Result_2DS_1112DS_FatFrac_agpd.xlsx,30,LSTM,100.0,3.0,60.0,150.0,64-256:64,256.0,0.44382140982863155,-0.43866258137789144,0.5153748972953294,0.5008598038942939,0.5734352708994713
GRU|40.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.006381002054514482,Result_2DS_1112DS_FatFrac_agpd.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,2048.0,0.29685940899828717,-0.2904784069437727,0.5107139412329811,0.5010634987386167,0.5493157112104382
GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,10.0,0.47886494693847886,Result_2DS_1112DS_FatFrac_agpd.xlsx,250,GRU,40.0,10.0,60.0,20.0,16-64:16,256.0,0.6798387314108206,-0.20097378447234177,0.5855930470974212,0.5791398270014438,0.6114059274813308
