,,_key_,Score_robusto,d1112,d1211,Z_1112,Z_1211
3s,1,GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,0.6237117101178061,0.6364611306768039,0.6205243549780567,0.8400556902883437,0.737661654236022
3s,3,GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,0.6185933739360698,0.630369083898049,0.6156494464455751,0.800700767354863,0.7066840276063767
3s,5,GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,0.6066986401166314,0.6014185236774691,0.6278191058732805,0.6170687042299924,0.7843080995816066
3s,6,LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,0.6006706088991979,0.5991997118980156,0.6065541969039271,0.6031975242061732,0.6492761347557613
3s,7,GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,0.5854473726079013,0.593064843598734,0.5835430048601931,0.5649748343208033,0.5060024208905639
3s,9,LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,0.5840162078517633,0.583254431945387,0.5870633114772686,0.5042214338197891,0.5277575780493691
3s,14,GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,0.5799380563313788,0.5665052026981249,0.6336694708643947,0.4014097047313385,0.8219872023400093
3s,10,GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,0.5793400932088028,0.5758562640062184,0.5932754100191405,0.45867853519431157,0.5662836794906136
3s,19,LSTM|100.0|3.0|60.0|20.0|64-256:64|1024.0,0.5689182316961174,0.5457192886724277,0.6617140037908766,0.27508410955545276,1.0064126457160179
3s,18,GRU|100.0|3.0|60.0|20.0|16-64:16|256.0,0.5670955129028363,0.5518742371890829,0.62798061575785,0.3123694133400116,0.7853450074062027
10s,8,GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,0.6327853199446386,0.6428417263405566,0.6302712183456591,0.8815792770776021,0.8000707766479285
10s,4,GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,0.6222048474907179,0.6747033482757986,0.6090802222944478,1.0943033545423144,0.6651714301708622
10s,22,GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,0.6114379437400872,0.6105036891491499,0.6151749621038366,0.6741449138979702,0.703676901899737
10s,13,LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,0.6031331231535539,0.6317478551195518,0.5959794401620545,0.8095837069094532,0.5831106041155466
10s,29,LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,0.585702467439433,0.5831854402596223,0.595770576158676,0.5037956896408308,0.5818095840793194
10s,32,GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,0.5855930470974212,0.5791398270014438,0.6114059274813308,0.47886494693847886,0.6798387314108206
10s,2,LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,0.5830519548436026,0.6767655222571071,0.5596235629902265,1.1084203013411524,0.3594516734147252
10s,36,LSTM|100.0|10.0|120.0|20.0|64-256:64|8192.0,0.5699211154630363,0.5611238918013258,0.6051100101098777,0.3685868438498092,0.6402045853343585
10s,39,LSTM|100.0|10.0|60.0|150.0|16-64:16|8192.0,0.5656314378621098,0.5493160309072808,0.6308930656814257,0.29686134602314734,0.804074974805621
10s,26,GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,0.5581352668909877,0.5980520169778004,0.5481560793692845,0.5960325754512493,0.28983487635358174
