_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ
LSTM|100.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,1.0390986693428506,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,1024.0,0.31328335393916973,0.7258153154036808
LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5728768842877732,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,1024.0,0.5338196161802526,0.039057268107520526
GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.8081825145738862,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,1024.0,0.8747998838435278,-0.06661736926964157
GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5521073281958071,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,1024.0,0.5846867062338013,-0.032579378037994156
GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.609924136313514,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,1024.0,0.481498145557577,0.12842599075593708
LSTM|40.0|10.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.42112162562974814,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,20.0,16-64:16,1024.0,0.25288184632810634,0.1682397793016418
LSTM|40.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.450568195080074,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,20.0,64-256:64,1024.0,0.1906868016359936,0.2598813934440804
GRU|100.0|10.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.8098675407188821,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,20.0,16-64:16,1024.0,0.8273980347037012,-1.6372655754225833
GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8231286016516396,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,150.0,16-64:16,1024.0,0.6404550270663116,0.18267357458532796
LSTM|40.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.26926529787392206,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,1024.0,-0.5288206035615398,0.7980859014354619
