_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ,Score_robusto,dAB,dBA
LSTM|100.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,1.0390986693428506,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,1024.0,0.31328335393916973,0.7258153154036808,0.5749348324499862,0.6665744971122574,0.5520249162844184
LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5728768842877732,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,1024.0,0.5338196161802526,0.039057268107520526,0.5893012571672249,0.5943355991964886,0.588042671659909
GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.8081825145738862,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,1024.0,0.8747998838435278,-0.06661736926964157,0.6335850834925509,0.6315305104591014,0.641803375626349
GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5521073281958071,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,1024.0,0.5846867062338013,-0.032579378037994156,0.5920408160838226,0.5909929153826717,0.5962324188884258
GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.609924136313514,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,1024.0,0.481498145557577,0.12842599075593708,0.583709352180106,0.6002762040431013,0.5795676392143572
LSTM|40.0|10.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.42112162562974814,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,20.0,16-64:16,1024.0,0.25288184632810634,0.1682397793016418,0.5475838531633405,0.5697295353754063,0.5420474326103241
LSTM|40.0|10.0|60.0|20.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.450568195080074,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,20.0,64-256:64,1024.0,0.1906868016359936,0.2598813934440804,0.5402977447241648,0.5745351142060938,0.5317384023536825
GRU|100.0|10.0|120.0|20.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.8098675407188821,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,20.0,16-64:16,1024.0,0.8273980347037012,-1.6372655754225833,0.42146778375108473,0.3682081247728071,0.6345064196641951
GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8231286016516396,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,150.0,16-64:16,1024.0,0.6404550270663116,0.18267357458532796,0.6108891420981064,0.6338460901209011,0.6051499050924077
LSTM|40.0|3.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.26926529787392206,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,1024.0,-0.5288206035615398,0.7980859014354619,0.43916340521136465,0.5447574258679886,0.4127649000472087
GRU|100.0|3.0|120.0|150.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.3402076022995885,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,150.0,64-256:64,1024.0,-0.08169908741226994,0.42190668971185846,0.5004013702700909,0.556459448921217,0.4863868506073094
LSTM|100.0|10.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.1921087293552721,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,150.0,16-64:16,1024.0,0.6571256692987403,-0.46501693994346815,0.5471400104665637,0.53197442829135,0.6078023391674184
GRU|40.0|10.0|60.0|150.0|16-64:16|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.11149681122105493,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,150.0,16-64:16,1024.0,-0.3217790847466636,0.2102822735256087,0.45354504953537667,0.48142574943568794,0.4465748745602988
LSTM|100.0|10.0|120.0|150.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.5547235803906553,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,120.0,150.0,64-256:64,1024.0,-0.3653077669035284,0.9200313472941837,0.4698145101439093,0.5914144492004995,0.4394145253797617
LSTM|40.0|3.0|120.0|150.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.19038252998544883,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,120.0,150.0,64-256:64,1024.0,-0.31457590642283884,0.12419337643739001,0.4518720212295083,0.46831210557920805,0.4477620001420834
GRU|40.0|10.0|120.0|150.0|64-256:64|1024.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.16280286908817776,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,120.0,150.0,64-256:64,1024.0,-1.2933066603482615,1.1305037912600837,0.3320817432708102,0.4728927932769334,0.2968789807692794
LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.6931825604632994,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,2048.0,0.6291979635321242,0.0639845969311752,0.6053877133782486,0.6135173831596378,0.6033552959329012
LSTM|100.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.608088899710682,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,2048.0,0.3988656112226054,0.20922328848807664,0.5728674330256903,0.5999825978815775,0.5660886418117185
LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.5900671721008742,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,2048.0,0.5011320021161119,0.08893516998476236,0.585622102757786,0.5970956464592871,0.5827537168324107
LSTM|40.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.38970778727032557,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,120.0,20.0,64-256:64,2048.0,0.4752451564172649,-0.08553736914693932,0.5673810284907708,0.5645884029592438,0.5785515306168784
GRU|40.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.2539054757686418,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,2048.0,0.25193435165323624,0.0019711241154055648,0.5419558687831554,0.5422168261411806,0.5418906294436491
GRU|40.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.3487821725083635,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,2048.0,0.048457175233338694,0.3003249972750248,0.5180343674657091,0.5578698629832344,0.5080754935863278
GRU|100.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.27751784463170365,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,2048.0,1.039245073843404,-1.3167629184751077,0.4964220459852402,0.4538785101532883,0.666596189313048
LSTM|40.0|10.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.1602472689480802,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,20.0,64-256:64,2048.0,-0.09836299454543632,0.2586102634935165,0.49222613289310724,0.5266825057593982,0.4836120396765345
GRU|100.0|10.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.39316255128709554,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,2048.0,-0.4209288720931348,0.8140914233802303,0.45727247343844113,0.5651545044280328,0.43030196569104323
GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.2941432053009432,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,120.0,20.0,64-256:64,2048.0,0.5849260887071416,-0.2907828834061984,0.5583480671943901,0.5488673746227016,0.5962708374811442
GRU|100.0|3.0|60.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-1.628919256094731,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,2048.0,-0.30027870101435666,-1.3286405550803744,0.2919299302587012,0.2523824092316567,0.45012001436687904
LSTM|40.0|3.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5879137261252363,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,2048.0,0.2868868084802966,0.3010269176449397,0.557485442267678,0.5967502252071786,0.5476692465328029
GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.7110802650461773,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,150.0,16-64:16,2048.0,0.667345707494815,0.04373455755136224,0.6108087837180196,0.6163427180246323,0.6094253001413664
GRU|100.0|10.0|120.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6065435081354483,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,150.0,16-64:16,2048.0,0.19393158216141015,0.4126119259740382,0.5457686475474935,0.599735306192915,0.5322769828861382
LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.3658878316142286,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,120.0,150.0,64-256:64,2048.0,1.101868043289791,-0.7359802116755623,0.5837064304051504,0.560680730382172,0.675809230497064
LSTM|40.0|10.0|120.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.06657025609892112,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,150.0,16-64:16,2048.0,-0.45501191988115935,0.5215821759800805,0.4420113511273971,0.5110932219758322,0.4247408834152883
GRU|100.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8247234803954125,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,256.0,0.3491133849199894,0.47561009547542316,0.573158023944735,0.6340928201787993,0.557924324886219
GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8594365625839345,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,256.0,0.4322145210526032,0.4272220415313313,0.5851222351783848,0.639445370439448,0.571541451363119
LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.5903392802013584,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,256.0,0.8055115515503602,-0.21517227134900185,0.6039346411822272,0.5971392868294576,0.631116058593305
GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6874692329396317,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,20.0,16-64:16,256.0,0.47227612658058704,0.21519310635904465,0.5849778354396595,0.6126138543749977,0.578068830705825
LSTM|40.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.04410706347003765,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,20.0,16-64:16,256.0,0.298549739306856,-0.25444267583681834,0.5157994534452454,0.5073506476158682,0.5495946767627543
