,,_key_,Score_robusto,dAB,dBA,Z_AB,Z_BA
3s,48,GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,0.6292816271555265,0.6268782117494023,0.6388952887800229,0.7782711085884051,0.8558588978562665
3s,59,GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,0.6241564815362525,0.6220076784594835,0.6327516938433286,0.7471178331371375,0.8160598103526756
3s,8,GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,0.6108891420981064,0.6338460901209011,0.6051499050924077,0.8231286016516396,0.6404550270663116
3s,16,LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,0.6053877133782486,0.6135173831596378,0.6033552959329012,0.6931825604632994,0.6291979635321242
3s,3,GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,0.5920408160838226,0.5909929153826717,0.5962324188884258,0.5521073281958071,0.5846867062338013
3s,1,LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,0.5893012571672249,0.5943355991964886,0.588042671659909,0.5728768842877732,0.5338196161802526
3s,33,GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,0.5851222351783848,0.639445370439448,0.571541451363119,0.8594365625839345,0.4322145210526032
3s,4,GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,0.583709352180106,0.6002762040431013,0.5795676392143572,0.609924136313514,0.481498145557577
3s,0,LSTM|100.0|3.0|60.0|20.0|64-256:64|1024.0,0.5749348324499862,0.6665744971122574,0.5520249162844184,1.0390986693428506,0.31328335393916973
3s,32,GRU|100.0|3.0|60.0|20.0|16-64:16|256.0,0.573158023944735,0.6340928201787993,0.557924324886219,0.8247234803954125,0.3491133849199894
10s,2,GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,0.6335850834925509,0.6315305104591014,0.641803375626349,0.8081825145738862,0.8747998838435278
10s,49,GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,0.6229933555745722,0.6103340881278213,0.6736304253615762,0.6730751353827572,1.0869768396162423
10s,28,GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,0.6108087837180196,0.6163427180246323,0.6094253001413664,0.7110802650461773,0.667345707494815
10s,34,LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,0.6039346411822272,0.5971392868294576,0.631116058593305,0.5903392802013584,0.8055115515503602
10s,18,LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,0.585622102757786,0.5970956464592871,0.5827537168324107,0.5900671721008742,0.5011320021161119
10s,35,GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,0.5849778354396595,0.6126138543749977,0.578068830705825,0.6874692329396317,0.47227612658058704
10s,30,LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,0.5837064304051504,0.560680730382172,0.675809230497064,0.3658878316142286,1.101868043289791
10s,50,LSTM|100.0|10.0|120.0|20.0|64-256:64|8192.0,0.5692009700646169,0.6063327087109442,0.5599180354030351,0.6478841182196088,0.36124412238952175
10s,58,LSTM|100.0|10.0|60.0|150.0|16-64:16|8192.0,0.5655886384364943,0.6321500723694498,0.5489482799532555,0.8121776588961047,0.2946333267192127
10s,25,GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,0.5583480671943901,0.5488673746227016,0.5962708374811442,0.2941432053009432,0.5849260887071416
