,,_key_,robust_score,Z_AB,Z_BA
3s,48,GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,0.7782711085884051,0.7782711085884051,0.8558588978562665
3s,59,GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,0.7471178331371375,0.7471178331371375,0.8160598103526756
3s,8,GRU|100.0|3.0|60.0|150.0|16-64:16|1024.0,0.6404550270663116,0.8231286016516396,0.6404550270663116
3s,16,LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,0.6291979635321242,0.6931825604632994,0.6291979635321242
3s,3,GRU|40.0|3.0|120.0|20.0|16-64:16|1024.0,0.5521073281958071,0.5521073281958071,0.5846867062338013
3s,1,LSTM|100.0|3.0|120.0|20.0|16-64:16|1024.0,0.5338196161802526,0.5728768842877732,0.5338196161802526
3s,4,GRU|40.0|3.0|60.0|20.0|64-256:64|1024.0,0.481498145557577,0.609924136313514,0.481498145557577
3s,33,GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,0.4322145210526032,0.8594365625839345,0.4322145210526032
3s,17,LSTM|100.0|3.0|60.0|20.0|64-256:64|2048.0,0.3988656112226054,0.608088899710682,0.3988656112226054
3s,19,LSTM|40.0|3.0|120.0|20.0|64-256:64|2048.0,0.38970778727032557,0.38970778727032557,0.4752451564172649
10s,2,GRU|100.0|10.0|60.0|20.0|64-256:64|1024.0,0.8081825145738862,0.8081825145738862,0.8747998838435278
10s,49,GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,0.6730751353827572,0.6730751353827572,1.0869768396162423
10s,28,GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,0.667345707494815,0.7110802650461773,0.667345707494815
10s,34,LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,0.5903392802013584,0.5903392802013584,0.8055115515503602
10s,18,LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,0.5011320021161119,0.5900671721008742,0.5011320021161119
10s,35,GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,0.47227612658058704,0.6874692329396317,0.47227612658058704
10s,30,LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,0.3658878316142286,0.3658878316142286,1.101868043289791
10s,50,LSTM|100.0|10.0|120.0|20.0|64-256:64|8192.0,0.36124412238952175,0.6478841182196088,0.36124412238952175
10s,58,LSTM|100.0|10.0|60.0|150.0|16-64:16|8192.0,0.2946333267192127,0.8121776588961047,0.2946333267192127
10s,25,GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,0.2941432053009432,0.2941432053009432,0.5849260887071416
