_key_,_dataset_id_,_seconds_,Z_1112,__file__,Modelo,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ
GRU|100|3.0|30|60|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.2254862327920941,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,32-96:32,512,1.017541119959526,0.20794511283256822
LSTM|100|3.0|30|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.2120352639454177,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,64-256:64,1024,0.9512270013315522,0.26080826261386547
GRU|100|3.0|30|120|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.211007087619976,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,64-256:64,1024,0.8895811174190031,0.32142597020097297
GRU|100|3.0|30|60|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.191071387912341,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,16-64:16,1024,0.6716196502757922,0.5194517376365487
GRU|100|3.0|30|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.165129353954184,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,32-96:32,512,0.34527053033595334,0.8198588236182307
GRU|100|3.0|30|120|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.1279383984207962,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,16-64:16,1024,-2.4945719245633855,3.6225103229841817
LSTM|100|3.0|30|120|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.1249211699989914,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,64-256:64,2048,-0.4887937595576168,1.6137149295566082
GRU|100|3.0|30|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.1119799883645576,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,64-256:64,512,0.22831696081906835,0.8836630275454892
GRU|100|3.0|30|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.1014060360927864,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,64-256:64,1024,1.2141002843122384,-0.11269424821945195
GRU|100|3.0|30|60|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.091200645316183,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,64-256:64,2048,0.05153606226866329,1.0396645830475197
LSTM|100|3.0|30|120|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0705809019209431,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,16-64:16,512,0.45469378461974297,0.6158871173012002
LSTM|100|3.0|30|120|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0371732312428386,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,32-96:32,2048,-0.25111415430946693,1.2882873855523056
GRU|100|3.0|30|60|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0214301960035719,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,64-256:64,512,1.0855042281493041,-0.06407403214573226
LSTM|100|3.0|30|60|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.0168861935287492,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,150,64-256:64,2048,0.5057713828993452,0.511114810629404
LSTM|100|3.0|30|120|20|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.9946376923069487,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,16-64:16,2048,-2.928125766292963,3.9227634585999116
LSTM|100|3.0|30|60|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.9915379638909827,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,64-256:64,2048,-5.377104642944493,6.368642606835476
LSTM|100|5.0|50|60|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.5688238401668664,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,60,20,64-256:64,2048,-0.9950792393293532,2.5639030794962197
LSTM|100|3.0|30|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.9387139270926489,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,32-96:32,512,0.8945761528359913,0.04413777425665755
GRU|100|3.0|30|120|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.9294904414031517,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,16-64:16,512,0.8048307154290673,0.12465972597408448
LSTM|100|3.0|30|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.9217692968489387,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,64-256:64,512,0.42111017174245635,0.5006591251064824
LSTM|100|3.0|30|60|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8973566322791863,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,64-256:64,512,0.19278402880723977,0.7045726034719465
GRU|100|3.0|30|60|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8782361820104968,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,16-64:16,512,0.14538908433720685,0.7328470976732899
GRU|100|5.0|50|120|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4823433485793887,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,20,32-96:32,1024,0.8138267654321345,0.6685165831472542
LSTM|100|5.0|50|120|150|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4723602736171284,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,16-64:16,2048,-0.022217613821630223,1.4945778874387585
GRU|100|3.0|30|60|150|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8395885787725956,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,150,16-64:16,2048,0.496985871419238,0.3426027073533576
LSTM|100|5.0|50|120|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4267732628704708,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,20,32-96:32,1024,0.03940400996449187,1.387369252905979
GRU|40|3.0|75|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.8142724937410551,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,20,32-96:32,512,-0.5661161271161836,1.380388620857239
GRU|100|5.0|50|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4212014007076312,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,20,32-96:32,512,0.8434364579451761,0.5777649427624552
LSTM|100|5.0|50|60|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.418773245971933,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,60,20,32-96:32,1024,0.8477056135187435,0.5710676324531896
LSTM|100|5.0|50|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4067578037646085,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,60,20,64-256:64,1024,1.1276565758999084,0.27910122786470004
GRU|100|5.0|50|120|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.4006342507841105,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,20,64-256:64,1024,1.0062472796092592,0.39438697117485133
GRU|100|5.0|50|60|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.37538165398547,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,60,20,16-64:16,1024,0.09880725596791046,1.2765743980175595
GRU|100|3.0|30|60|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.7691864837888047,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,32-96:32,2048,-2.0016548580789904,2.7708413418677953
LSTM|100|3.0|30|60|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.7656130298247109,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,32-96:32,1024,0.7632642223252457,0.0023488074994651997
GRU|40|3.0|75|60|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.743788829087422,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,20,32-96:32,512,0.6639554444001555,0.07983338468726653
GRU|40|5.0|125|120|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.3414366670206892,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,120,20,32-96:32,2048,0.265228758765546,1.0762079082551432
GRU|100|5.0|50|60|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.3385229496444335,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,60,20,64-256:64,512,0.9433657089146709,0.39515724072976266
GRU|100|3.0|30|60|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6939422869665016,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,32-96:32,1024,-0.3899646767620741,1.0839069637285756
GRU|100|3.0|30|60|150|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6937889501764589,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,150,16-64:16,1024,0.6512547231317004,0.04253422704475851
GRU|100|3.0|30|120|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6901422744837665,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,150,64-256:64,2048,0.6803865406657044,0.009755733818062162
GRU|100|5.0|50|120|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.2914101199905639,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,20,32-96:32,2048,0.289074291671511,1.0023358283190529
GRU|100|3.0|30|120|150|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6856087893124504,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,150,32-96:32,1024,0.6456562333206922,0.039952555991758176
GRU|100|3.0|30|60|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,0.6797688899718496,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,150,64-256:64,2048,0.561252653400445,0.11851623657140464
