,,_key_,robust_score,Z_1112,Z_1211
3s,8,GRU|100|3.0|30|60|20|64-256:64|1024,1.1014060360927864,1.1014060360927864,1.2141002843122384
3s,12,GRU|100|3.0|30|60|20|64-256:64|512,1.0214301960035719,1.0214301960035719,1.0855042281493041
3s,0,GRU|100|3.0|30|60|20|32-96:32|512,1.017541119959526,1.2254862327920941,1.017541119959526
3s,1,LSTM|100|3.0|30|60|20|64-256:64|1024,0.9512270013315522,1.2120352639454177,0.9512270013315522
3s,17,LSTM|100|3.0|30|120|20|32-96:32|512,0.8945761528359913,0.9387139270926489,0.8945761528359913
3s,2,GRU|100|3.0|30|120|20|64-256:64|1024,0.8895811174190031,1.211007087619976,0.8895811174190031
3s,18,GRU|100|3.0|30|120|20|16-64:16|512,0.8048307154290673,0.9294904414031517,0.8048307154290673
3s,33,LSTM|100|3.0|30|60|20|32-96:32|1024,0.7632642223252457,0.7656130298247109,0.7632642223252457
3s,39,GRU|100|3.0|30|120|150|64-256:64|2048,0.6803865406657044,0.6901422744837665,0.6803865406657044
3s,43,LSTM|100|3.0|30|120|20|32-96:32|1024,0.6753407198266367,0.6753407198266367,0.7792084597246547
5s,51,GRU|100|5.0|50|60|20|64-256:64|1024,1.1566518949763656,1.217661200269043,1.1566518949763656
5s,29,LSTM|100|5.0|50|60|20|64-256:64|1024,1.1276565758999084,1.4067578037646085,1.1276565758999084
5s,55,GRU|100|5.0|50|120|20|64-256:64|512,1.0380699547216836,1.1452130508424732,1.0380699547216836
5s,30,GRU|100|5.0|50|120|20|64-256:64|1024,1.0062472796092592,1.4006342507841105,1.0062472796092592
5s,36,GRU|100|5.0|50|60|20|64-256:64|512,0.9433657089146709,1.3385229496444335,0.9433657089146709
5s,53,LSTM|100|5.0|50|60|20|16-64:16|1024,0.93638720492568,1.1894690630140492,0.93638720492568
5s,79,LSTM|100|5.0|50|120|20|32-96:32|512,0.8607381771616653,0.9451944203976418,0.8607381771616653
5s,28,LSTM|100|5.0|50|60|20|32-96:32|1024,0.8477056135187435,1.418773245971933,0.8477056135187435
5s,27,GRU|100|5.0|50|120|20|32-96:32|512,0.8434364579451761,1.4212014007076312,0.8434364579451761
5s,59,LSTM|100|5.0|50|120|20|64-256:64|512,0.8349762773304278,1.1155719998486324,0.8349762773304278
