_key_,_dataset_id_,_seconds_,Z_1112,__file__,Modelo,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ
GRU|100|3.0|30|60|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.8322384693552123,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,32-96:32,512,0.19021841172308054,1.6420200576321318
LSTM|100|3.0|30|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.8140092793544271,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,64-256:64,1024,0.16688285407642314,1.647126425278004
GRU|100|3.0|30|120|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.8126158613929084,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,64-256:64,1024,0.1451900214265504,1.667425839966358
GRU|100|3.0|30|60|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.7855983534415107,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,16-64:16,1024,0.06849063242004602,1.7171077210214647
GRU|100|3.0|30|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.7504408661689927,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,32-96:32,512,-0.046349749369775775,1.7967906155387685
GRU|100|3.0|30|120|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.700038474902106,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,16-64:16,1024,-1.0456740061770422,2.7457124810791482
LSTM|100|3.0|30|120|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.69594942891562,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,64-256:64,2048,-0.3398521847564306,2.0358016136720507
GRU|100|3.0|30|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.678411119107769,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,64-256:64,512,-0.08750503907142257,1.7659161581791916
GRU|100|3.0|30|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.6640809554430913,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,64-256:64,1024,0.259386453244734,1.4046945021983572
GRU|100|3.0|30|60|20|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.6502502782911679,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,64-256:64,2048,-0.14971322240103838,1.7999635006922063
