,,_key_,robust_score,Z_1112,Z_1211
3s,8,GRU|100|3.0|30|60|20|64-256:64|1024,0.259386453244734,1.6640809554430913,0.259386453244734
3s,12,GRU|100|3.0|30|60|20|64-256:64|512,0.2141342393299572,1.5556950985522737,0.2141342393299572
3s,0,GRU|100|3.0|30|60|20|32-96:32|512,0.19021841172308054,1.8322384693552123,0.19021841172308054
3s,47,GRU|40|3.0|75|120|20|32-96:32|2048,0.1702098749747607,1.0486054709356718,0.1702098749747607
3s,1,LSTM|100|3.0|30|60|20|64-256:64|1024,0.16688285407642314,1.8140092793544271,0.16688285407642314
3s,17,LSTM|100|3.0|30|120|20|32-96:32|512,0.14694774571410585,1.4435953234861945,0.14694774571410585
3s,2,GRU|100|3.0|30|120|20|64-256:64|1024,0.1451900214265504,1.8126158613929084,0.1451900214265504
3s,18,GRU|100|3.0|30|120|20|16-64:16|512,0.11536684150451072,1.4310953560102522,0.11536684150451072
3s,84,GRU|100|3.0|30|60|150|32-96:32|2048,0.11437793157978045,0.5799336920349552,0.11437793157978045
3s,76,GRU|100|3.0|30|60|150|64-256:64|512,0.11163884102455239,0.6668289316080184,0.11163884102455239
5s,51,GRU|100|5.0|50|60|20|64-256:64|1024,0.6687165783520451,1.5094475614785603,0.6687165783520451
5s,29,LSTM|100|5.0|50|60|20|64-256:64|1024,0.6543303901258751,1.7585848619345685,0.6543303901258751
5s,55,GRU|100|5.0|50|120|20|64-256:64|512,0.6098814916185648,1.4139961570772521,0.6098814916185648
5s,30,GRU|100|5.0|50|120|20|64-256:64|1024,0.5940924950284457,1.750516999103831,0.5940924950284457
5s,36,GRU|100|5.0|50|60|20|64-256:64|512,0.5628934552943365,1.6686845303672246,0.5628934552943365
5s,53,LSTM|100|5.0|50|60|20|16-64:16|1024,0.5594310318715084,1.4723040441442627,0.5594310318715084
5s,105,LSTM|100|5.0|50|60|20|64-256:64|512,0.5504841181670245,0.8566306901496578,0.5504841181670245
5s,114,GRU|40|5.0|125|120|20|16-64:16|512,0.5354183153587275,0.7436937807166953,0.5354183153587275
5s,127,GRU|100|5.0|50|60|150|16-64:16|1024,0.53213898180124,0.6367367954102063,0.53213898180124
5s,79,LSTM|100|5.0|50|120|20|32-96:32|512,0.5218973475664606,1.1504689402539114,0.5218973475664606
