,,_key_,Score_robusto,d1112,d1211,Z_1112,Z_1211
3s,8,GRU|100|3.0|30|60|20|64-256:64|1024,0.5849019089593757,0.7520148682522537,0.5431236691361563,1.6640809554430913,0.259386453244734
3s,0,GRU|100|3.0|30|60|20|32-96:32|512,0.5797937333463595,0.7723260621482739,0.5316606511458809,1.8322384693552123,0.19021841172308054
3s,1,LSTM|100|3.0|30|60|20|64-256:64|1024,0.5762645368896202,0.77018206378146,0.5277851551666602,1.8140092793544271,0.16688285407642314
3s,12,GRU|100|3.0|30|60|20|64-256:64|512,0.5761620167997727,0.7382958708549265,0.5356285532859842,1.5556950985522737,0.2141342393299572
3s,2,GRU|100|3.0|30|120|20|64-256:64|1024,0.5733470889986078,0.7700175976604043,0.5241794618331586,1.8126158613929084,0.1451900214265504
3s,17,LSTM|100|3.0|30|120|20|32-96:32|512,0.5642976668067232,0.7236014441589201,0.524471722468674,1.4435953234861945,0.14694774571410585
3s,3,GRU|100|3.0|30|60|20|16-64:16|1024,0.5624929780486063,0.7668123999952904,0.5114131225619353,1.7855983534415107,0.06849063242004602
3s,18,GRU|100|3.0|30|120|20|16-64:16|512,0.5597609994523676,0.7219316601642933,0.519218334274386,1.4310953560102522,0.11536684150451072
3s,47,GRU|40|3.0|75|120|20|32-96:32|2048,0.5562666529314204,0.6679816165843229,0.5283379120181948,1.0486054709356718,0.1702098749747607
3s,33,LSTM|100|3.0|30|60|20|32-96:32|1024,0.5516783216302176,0.69125695274412,0.5167836638517419,1.209003363488952,0.1007398312077254
5s,29,LSTM|100|5.0|50|60|20|64-256:64|1024,0.6386017676443106,0.7635767311162095,0.607358026776336,1.7585848619345685,0.6543303901258751
5s,51,GRU|100|5.0|50|60|20|64-256:64|1024,0.6341732731069941,0.7322951105766308,0.6096428137395848,1.5094475614785603,0.6687165783520451
5s,30,GRU|100|5.0|50|120|20|64-256:64|1024,0.6307137276389917,0.7626043752842263,0.5977410657276829,1.750516999103831,0.5940924950284457
5s,36,GRU|100|5.0|50|60|20|64-256:64|512,0.6247012910985297,0.7525867680101107,0.5927299218706344,1.6686845303672246,0.5628934552943365
5s,55,GRU|100|5.0|50|120|20|64-256:64|512,0.6241430019376085,0.7196374799075769,0.6002693824451165,1.4139961570772521,0.6098814916185648
5s,28,LSTM|100|5.0|50|60|20|32-96:32|1024,0.6211511584452075,0.765476654153166,0.5850697845182179,1.7744153675067544,0.5154311689000963
5s,27,GRU|100|5.0|50|120|20|32-96:32|512,0.6209534107616289,0.7658593133598773,0.5847269351120667,1.7776144937986003,0.5133130037063905
5s,22,GRU|100|5.0|50|120|20|32-96:32|1024,0.6209477405597374,0.7753515640921296,0.5823467846766395,1.8581698266591864,0.4986219906953456
5s,53,LSTM|100|5.0|50|60|20|16-64:16|1024,0.6192206429995462,0.7274128918101948,0.5921725807968841,1.4723040441442627,0.5594310318715084
5s,59,LSTM|100|5.0|50|120|20|64-256:64|512,0.6101087685125663,0.7143547676086356,0.584047268738549,1.3749436765420449,0.5091154382155529
