Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?,ExpID,__block__,RunOrder
GRU,100,3.0,30,120,150,32-96:32,2048,OK,E105,100|3.0|GRU,1
GRU,100,3.0,30,60,150,64-256:64,1024,OK,E089,100|3.0|GRU,2
GRU,100,3.0,30,60,150,16-64:16,2048,OK,E084,100|3.0|GRU,3
GRU,100,3.0,30,60,20,32-96:32,2048,OK,E078,100|3.0|GRU,4
GRU,100,3.0,30,60,150,64-256:64,2048,OK,E090,100|3.0|GRU,5
GRU,100,3.0,30,60,20,64-256:64,2048,OK,E081,100|3.0|GRU,6
GRU,100,3.0,30,60,150,16-64:16,1024,OK,E083,100|3.0|GRU,7
GRU,100,3.0,30,120,20,64-256:64,512,OK,E097,100|3.0|GRU,8
GRU,100,3.0,30,120,150,64-256:64,1024,OK,E107,100|3.0|GRU,9
GRU,100,3.0,30,60,20,16-64:16,512,OK,E073,100|3.0|GRU,10
GRU,100,3.0,30,120,20,64-256:64,2048,OK,E099,100|3.0|GRU,11
GRU,100,3.0,30,120,20,16-64:16,1024,OK,E092,100|3.0|GRU,12
GRU,100,3.0,30,60,20,32-96:32,512,OK,E076,100|3.0|GRU,13
GRU,100,3.0,30,120,20,16-64:16,512,OK,E091,100|3.0|GRU,14
GRU,100,3.0,30,60,20,32-96:32,1024,OK,E077,100|3.0|GRU,15
GRU,100,3.0,30,120,20,32-96:32,512,OK,E094,100|3.0|GRU,16
GRU,100,3.0,30,120,150,16-64:16,1024,OK,E101,100|3.0|GRU,17
GRU,100,3.0,30,120,20,32-96:32,2048,OK,E096,100|3.0|GRU,18
GRU,100,3.0,30,120,150,64-256:64,512,OK,E106,100|3.0|GRU,19
GRU,100,3.0,30,60,20,16-64:16,2048,OK,E075,100|3.0|GRU,20
GRU,100,3.0,30,60,20,64-256:64,512,OK,E079,100|3.0|GRU,21
GRU,100,3.0,30,60,150,32-96:32,2048,OK,E087,100|3.0|GRU,22
GRU,100,3.0,30,120,20,32-96:32,1024,OK,E095,100|3.0|GRU,23
GRU,100,3.0,30,120,150,64-256:64,2048,OK,E108,100|3.0|GRU,24
GRU,100,3.0,30,60,150,64-256:64,512,OK,E088,100|3.0|GRU,25
GRU,100,3.0,30,120,150,32-96:32,512,OK,E103,100|3.0|GRU,26
GRU,100,3.0,30,60,20,16-64:16,1024,OK,E074,100|3.0|GRU,27
GRU,100,3.0,30,60,150,32-96:32,1024,OK,E086,100|3.0|GRU,28
GRU,100,3.0,30,120,20,16-64:16,2048,OK,E093,100|3.0|GRU,29
GRU,100,3.0,30,60,150,16-64:16,512,OK,E082,100|3.0|GRU,30
GRU,100,3.0,30,120,20,64-256:64,1024,OK,E098,100|3.0|GRU,31
GRU,100,3.0,30,120,150,16-64:16,2048,OK,E102,100|3.0|GRU,32
GRU,100,3.0,30,60,150,32-96:32,512,OK,E085,100|3.0|GRU,33
GRU,100,3.0,30,120,150,32-96:32,1024,OK,E104,100|3.0|GRU,34
GRU,100,3.0,30,60,20,64-256:64,1024,OK,E080,100|3.0|GRU,35
GRU,100,3.0,30,120,150,16-64:16,512,OK,E100,100|3.0|GRU,36
LSTM,100,3.0,30,120,150,16-64:16,2048,OK,E246,100|3.0|LSTM,37
LSTM,100,3.0,30,60,20,32-96:32,2048,OK,E222,100|3.0|LSTM,38
LSTM,100,3.0,30,60,20,64-256:64,1024,OK,E224,100|3.0|LSTM,39
LSTM,100,3.0,30,60,150,32-96:32,512,OK,E229,100|3.0|LSTM,40
LSTM,100,3.0,30,120,20,32-96:32,1024,OK,E239,100|3.0|LSTM,41
LSTM,100,3.0,30,60,150,64-256:64,1024,OK,E233,100|3.0|LSTM,42
LSTM,100,3.0,30,60,150,64-256:64,512,OK,E232,100|3.0|LSTM,43
LSTM,100,3.0,30,120,150,16-64:16,512,OK,E244,100|3.0|LSTM,44
LSTM,100,3.0,30,60,20,64-256:64,512,OK,E223,100|3.0|LSTM,45
LSTM,100,3.0,30,120,20,32-96:32,512,OK,E238,100|3.0|LSTM,46
LSTM,100,3.0,30,120,20,16-64:16,1024,OK,E236,100|3.0|LSTM,47
LSTM,100,3.0,30,60,150,64-256:64,2048,OK,E234,100|3.0|LSTM,48
LSTM,100,3.0,30,120,20,64-256:64,1024,OK,E242,100|3.0|LSTM,49
LSTM,100,3.0,30,60,150,32-96:32,1024,OK,E230,100|3.0|LSTM,50
LSTM,100,3.0,30,60,150,32-96:32,2048,OK,E231,100|3.0|LSTM,51
LSTM,100,3.0,30,60,20,64-256:64,2048,OK,E225,100|3.0|LSTM,52
LSTM,100,3.0,30,120,150,16-64:16,1024,OK,E245,100|3.0|LSTM,53
LSTM,100,3.0,30,120,150,64-256:64,1024,OK,E251,100|3.0|LSTM,54
LSTM,100,3.0,30,120,20,64-256:64,2048,OK,E243,100|3.0|LSTM,55
LSTM,100,3.0,30,120,150,32-96:32,512,OK,E247,100|3.0|LSTM,56
LSTM,100,3.0,30,120,20,16-64:16,512,OK,E235,100|3.0|LSTM,57
LSTM,100,3.0,30,120,20,64-256:64,512,OK,E241,100|3.0|LSTM,58
LSTM,100,3.0,30,60,20,32-96:32,512,OK,E220,100|3.0|LSTM,59
LSTM,100,3.0,30,60,20,16-64:16,512,OK,E217,100|3.0|LSTM,60
LSTM,100,3.0,30,60,20,16-64:16,2048,OK,E219,100|3.0|LSTM,61
LSTM,100,3.0,30,120,150,64-256:64,2048,OK,E252,100|3.0|LSTM,62
LSTM,100,3.0,30,120,150,32-96:32,2048,OK,E249,100|3.0|LSTM,63
LSTM,100,3.0,30,120,150,64-256:64,512,OK,E250,100|3.0|LSTM,64
LSTM,100,3.0,30,60,150,16-64:16,1024,OK,E227,100|3.0|LSTM,65
LSTM,100,3.0,30,120,20,32-96:32,2048,OK,E240,100|3.0|LSTM,66
LSTM,100,3.0,30,120,150,32-96:32,1024,OK,E248,100|3.0|LSTM,67
LSTM,100,3.0,30,120,20,16-64:16,2048,OK,E237,100|3.0|LSTM,68
LSTM,100,3.0,30,60,150,16-64:16,2048,OK,E228,100|3.0|LSTM,69
LSTM,100,3.0,30,60,20,16-64:16,1024,OK,E218,100|3.0|LSTM,70
LSTM,100,3.0,30,60,20,32-96:32,1024,OK,E221,100|3.0|LSTM,71
LSTM,100,3.0,30,60,150,16-64:16,512,OK,E226,100|3.0|LSTM,72
GRU,100,5.0,50,120,20,16-64:16,1024,OK,E128,100|5.0|GRU,73
GRU,100,5.0,50,120,150,16-64:16,512,OK,E136,100|5.0|GRU,74
GRU,100,5.0,50,120,150,32-96:32,512,OK,E139,100|5.0|GRU,75
GRU,100,5.0,50,120,150,64-256:64,2048,OK,E144,100|5.0|GRU,76
GRU,100,5.0,50,120,150,32-96:32,2048,OK,E141,100|5.0|GRU,77
GRU,100,5.0,50,60,20,32-96:32,512,OK,E112,100|5.0|GRU,78
GRU,100,5.0,50,60,150,32-96:32,2048,OK,E123,100|5.0|GRU,79
GRU,100,5.0,50,60,20,32-96:32,1024,OK,E113,100|5.0|GRU,80
GRU,100,5.0,50,60,20,16-64:16,1024,OK,E110,100|5.0|GRU,81
GRU,100,5.0,50,120,20,64-256:64,1024,OK,E134,100|5.0|GRU,82
GRU,100,5.0,50,120,20,64-256:64,2048,OK,E135,100|5.0|GRU,83
GRU,100,5.0,50,120,20,32-96:32,1024,OK,E131,100|5.0|GRU,84
GRU,100,5.0,50,60,20,64-256:64,1024,OK,E116,100|5.0|GRU,85
GRU,100,5.0,50,120,150,16-64:16,2048,OK,E138,100|5.0|GRU,86
GRU,100,5.0,50,60,150,64-256:64,512,OK,E124,100|5.0|GRU,87
GRU,100,5.0,50,120,20,64-256:64,512,OK,E133,100|5.0|GRU,88
GRU,100,5.0,50,120,20,16-64:16,512,OK,E127,100|5.0|GRU,89
GRU,100,5.0,50,60,150,32-96:32,1024,OK,E122,100|5.0|GRU,90
GRU,100,5.0,50,120,20,32-96:32,512,OK,E130,100|5.0|GRU,91
GRU,100,5.0,50,60,150,64-256:64,1024,OK,E125,100|5.0|GRU,92
GRU,100,5.0,50,60,20,16-64:16,512,OK,E109,100|5.0|GRU,93
GRU,100,5.0,50,120,150,16-64:16,1024,OK,E137,100|5.0|GRU,94
GRU,100,5.0,50,60,20,64-256:64,512,OK,E115,100|5.0|GRU,95
GRU,100,5.0,50,60,150,16-64:16,1024,OK,E119,100|5.0|GRU,96
GRU,100,5.0,50,120,150,32-96:32,1024,OK,E140,100|5.0|GRU,97
GRU,100,5.0,50,60,20,16-64:16,2048,OK,E111,100|5.0|GRU,98
GRU,100,5.0,50,120,20,16-64:16,2048,OK,E129,100|5.0|GRU,99
GRU,100,5.0,50,60,150,16-64:16,2048,OK,E120,100|5.0|GRU,100
GRU,100,5.0,50,120,20,32-96:32,2048,OK,E132,100|5.0|GRU,101
GRU,100,5.0,50,60,150,16-64:16,512,OK,E118,100|5.0|GRU,102
GRU,100,5.0,50,120,150,64-256:64,512,OK,E142,100|5.0|GRU,103
GRU,100,5.0,50,60,20,64-256:64,2048,OK,E117,100|5.0|GRU,104
