Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?
GRU,40,3,75,60,20,16-1024:16,256,
GRU,40,3,75,60,20,16-1024:16,1024,
GRU,40,3,75,60,20,16-256:16,256,
GRU,40,3,75,60,20,16-256:16,1024,
GRU,40,3,75,60,20,16-64:16,256,
GRU,40,3,75,60,20,16-64:16,1024,
GRU,40,3,75,60,20,200-260:20,256,
GRU,40,3,75,60,20,200-260:20,1024,
GRU,40,3,75,60,50,16-1024:16,256,
GRU,40,3,75,60,50,16-1024:16,1024,
GRU,40,3,75,60,50,16-256:16,256,
GRU,40,3,75,60,50,16-256:16,1024,
GRU,40,3,75,60,50,16-64:16,256,
GRU,40,3,75,60,50,16-64:16,1024,
GRU,40,3,75,60,50,200-260:20,256,
GRU,40,3,75,60,50,200-260:20,1024,
GRU,40,3,75,60,150,16-1024:16,256,
GRU,40,3,75,60,150,16-1024:16,1024,
GRU,40,3,75,60,150,16-256:16,256,
GRU,40,3,75,60,150,16-256:16,1024,
GRU,40,3,75,60,150,16-64:16,256,
GRU,40,3,75,60,150,16-64:16,1024,
GRU,40,3,75,60,150,200-260:20,256,
GRU,40,3,75,60,150,200-260:20,1024,
GRU,40,3,75,120,20,16-1024:16,256,
GRU,40,3,75,120,20,16-1024:16,1024,
GRU,40,3,75,120,20,16-256:16,256,
GRU,40,3,75,120,20,16-256:16,1024,
GRU,40,3,75,120,20,16-64:16,256,
GRU,40,3,75,120,20,16-64:16,1024,
GRU,40,3,75,120,20,200-260:20,256,
GRU,40,3,75,120,20,200-260:20,1024,
GRU,40,3,75,120,50,16-1024:16,256,
GRU,40,3,75,120,50,16-1024:16,1024,
GRU,40,3,75,120,50,16-256:16,256,
GRU,40,3,75,120,50,16-256:16,1024,
GRU,40,3,75,120,50,16-64:16,256,
GRU,40,3,75,120,50,16-64:16,1024,
GRU,40,3,75,120,50,200-260:20,256,
GRU,40,3,75,120,50,200-260:20,1024,
GRU,40,3,75,120,150,16-1024:16,256,
GRU,40,3,75,120,150,16-1024:16,1024,
GRU,40,3,75,120,150,16-256:16,256,
GRU,40,3,75,120,150,16-256:16,1024,
GRU,40,3,75,120,150,16-64:16,256,
GRU,40,3,75,120,150,16-64:16,1024,
GRU,40,3,75,120,150,200-260:20,256,
GRU,40,3,75,120,150,200-260:20,1024,
LSTM,40,3,75,60,20,16-1024:16,256,
LSTM,40,3,75,60,20,16-1024:16,1024,
LSTM,40,3,75,60,20,16-256:16,256,
LSTM,40,3,75,60,20,16-256:16,1024,
LSTM,40,3,75,60,20,16-64:16,256,
LSTM,40,3,75,60,20,16-64:16,1024,
LSTM,40,3,75,60,20,200-260:20,256,
LSTM,40,3,75,60,20,200-260:20,1024,
LSTM,40,3,75,60,50,16-1024:16,256,
LSTM,40,3,75,60,50,16-1024:16,1024,
LSTM,40,3,75,60,50,16-256:16,256,
LSTM,40,3,75,60,50,16-256:16,1024,
LSTM,40,3,75,60,50,16-64:16,256,
LSTM,40,3,75,60,50,16-64:16,1024,
LSTM,40,3,75,60,50,200-260:20,256,
LSTM,40,3,75,60,50,200-260:20,1024,
LSTM,40,3,75,60,150,16-1024:16,256,
LSTM,40,3,75,60,150,16-1024:16,1024,
LSTM,40,3,75,60,150,16-256:16,256,
LSTM,40,3,75,60,150,16-256:16,1024,
LSTM,40,3,75,60,150,16-64:16,256,
LSTM,40,3,75,60,150,16-64:16,1024,
LSTM,40,3,75,60,150,200-260:20,256,
LSTM,40,3,75,60,150,200-260:20,1024,
LSTM,40,3,75,120,20,16-1024:16,256,
LSTM,40,3,75,120,20,16-1024:16,1024,
LSTM,40,3,75,120,20,16-256:16,256,
LSTM,40,3,75,120,20,16-256:16,1024,
LSTM,40,3,75,120,20,16-64:16,256,
LSTM,40,3,75,120,20,16-64:16,1024,
LSTM,40,3,75,120,20,200-260:20,256,
LSTM,40,3,75,120,20,200-260:20,1024,
LSTM,40,3,75,120,50,16-1024:16,256,
LSTM,40,3,75,120,50,16-1024:16,1024,
LSTM,40,3,75,120,50,16-256:16,256,
LSTM,40,3,75,120,50,16-256:16,1024,
LSTM,40,3,75,120,50,16-64:16,256,
LSTM,40,3,75,120,50,16-64:16,1024,
LSTM,40,3,75,120,50,200-260:20,256,
LSTM,40,3,75,120,50,200-260:20,1024,
LSTM,40,3,75,120,150,16-1024:16,256,
LSTM,40,3,75,120,150,16-1024:16,1024,
LSTM,40,3,75,120,150,16-256:16,256,
LSTM,40,3,75,120,150,16-256:16,1024,
LSTM,40,3,75,120,150,16-64:16,256,
LSTM,40,3,75,120,150,16-64:16,1024,
LSTM,40,3,75,120,150,200-260:20,256,
LSTM,40,3,75,120,150,200-260:20,1024,
GRU,40,4,100,60,20,16-1024:16,256,
GRU,40,4,100,60,20,16-1024:16,1024,
GRU,40,4,100,60,20,16-256:16,256,
GRU,40,4,100,60,20,16-256:16,1024,
GRU,40,4,100,60,20,16-64:16,256,
GRU,40,4,100,60,20,16-64:16,1024,
GRU,40,4,100,60,20,200-260:20,256,
GRU,40,4,100,60,20,200-260:20,1024,
GRU,40,4,100,60,50,16-1024:16,256,
GRU,40,4,100,60,50,16-1024:16,1024,
GRU,40,4,100,60,50,16-256:16,256,
GRU,40,4,100,60,50,16-256:16,1024,
GRU,40,4,100,60,50,16-64:16,256,
GRU,40,4,100,60,50,16-64:16,1024,
GRU,40,4,100,60,50,200-260:20,256,
GRU,40,4,100,60,50,200-260:20,1024,
GRU,40,4,100,60,150,16-1024:16,256,
GRU,40,4,100,60,150,16-1024:16,1024,
GRU,40,4,100,60,150,16-256:16,256,
GRU,40,4,100,60,150,16-256:16,1024,
GRU,40,4,100,60,150,16-64:16,256,
GRU,40,4,100,60,150,16-64:16,1024,
GRU,40,4,100,60,150,200-260:20,256,
GRU,40,4,100,60,150,200-260:20,1024,
GRU,40,4,100,120,20,16-1024:16,256,
GRU,40,4,100,120,20,16-1024:16,1024,
GRU,40,4,100,120,20,16-256:16,256,
GRU,40,4,100,120,20,16-256:16,1024,
GRU,40,4,100,120,20,16-64:16,256,
GRU,40,4,100,120,20,16-64:16,1024,
GRU,40,4,100,120,20,200-260:20,256,
GRU,40,4,100,120,20,200-260:20,1024,
GRU,40,4,100,120,50,16-1024:16,256,
GRU,40,4,100,120,50,16-1024:16,1024,
GRU,40,4,100,120,50,16-256:16,256,
GRU,40,4,100,120,50,16-256:16,1024,
GRU,40,4,100,120,50,16-64:16,256,
GRU,40,4,100,120,50,16-64:16,1024,
GRU,40,4,100,120,50,200-260:20,256,
GRU,40,4,100,120,50,200-260:20,1024,
GRU,40,4,100,120,150,16-1024:16,256,
GRU,40,4,100,120,150,16-1024:16,1024,
GRU,40,4,100,120,150,16-256:16,256,
GRU,40,4,100,120,150,16-256:16,1024,
GRU,40,4,100,120,150,16-64:16,256,
GRU,40,4,100,120,150,16-64:16,1024,
GRU,40,4,100,120,150,200-260:20,256,
GRU,40,4,100,120,150,200-260:20,1024,
LSTM,40,4,100,60,20,16-1024:16,256,
LSTM,40,4,100,60,20,16-1024:16,1024,
LSTM,40,4,100,60,20,16-256:16,256,
LSTM,40,4,100,60,20,16-256:16,1024,
LSTM,40,4,100,60,20,16-64:16,256,
LSTM,40,4,100,60,20,16-64:16,1024,
LSTM,40,4,100,60,20,200-260:20,256,
LSTM,40,4,100,60,20,200-260:20,1024,
LSTM,40,4,100,60,50,16-1024:16,256,
LSTM,40,4,100,60,50,16-1024:16,1024,
LSTM,40,4,100,60,50,16-256:16,256,
LSTM,40,4,100,60,50,16-256:16,1024,
LSTM,40,4,100,60,50,16-64:16,256,
LSTM,40,4,100,60,50,16-64:16,1024,
LSTM,40,4,100,60,50,200-260:20,256,
LSTM,40,4,100,60,50,200-260:20,1024,
LSTM,40,4,100,60,150,16-1024:16,256,
LSTM,40,4,100,60,150,16-1024:16,1024,
LSTM,40,4,100,60,150,16-256:16,256,
LSTM,40,4,100,60,150,16-256:16,1024,
LSTM,40,4,100,60,150,16-64:16,256,
LSTM,40,4,100,60,150,16-64:16,1024,
LSTM,40,4,100,60,150,200-260:20,256,
LSTM,40,4,100,60,150,200-260:20,1024,
LSTM,40,4,100,120,20,16-1024:16,256,
LSTM,40,4,100,120,20,16-1024:16,1024,
LSTM,40,4,100,120,20,16-256:16,256,
LSTM,40,4,100,120,20,16-256:16,1024,
LSTM,40,4,100,120,20,16-64:16,256,
LSTM,40,4,100,120,20,16-64:16,1024,
LSTM,40,4,100,120,20,200-260:20,256,
LSTM,40,4,100,120,20,200-260:20,1024,
LSTM,40,4,100,120,50,16-1024:16,256,
LSTM,40,4,100,120,50,16-1024:16,1024,
LSTM,40,4,100,120,50,16-256:16,256,
LSTM,40,4,100,120,50,16-256:16,1024,
LSTM,40,4,100,120,50,16-64:16,256,
LSTM,40,4,100,120,50,16-64:16,1024,
LSTM,40,4,100,120,50,200-260:20,256,
LSTM,40,4,100,120,50,200-260:20,1024,
LSTM,40,4,100,120,150,16-1024:16,256,
LSTM,40,4,100,120,150,16-1024:16,1024,
LSTM,40,4,100,120,150,16-256:16,256,
LSTM,40,4,100,120,150,16-256:16,1024,
LSTM,40,4,100,120,150,16-64:16,256,
LSTM,40,4,100,120,150,16-64:16,1024,
LSTM,40,4,100,120,150,200-260:20,256,
LSTM,40,4,100,120,150,200-260:20,1024,
GRU,40,10,250,60,20,16-1024:16,256,
GRU,40,10,250,60,20,16-1024:16,1024,
GRU,40,10,250,60,20,16-256:16,256,
GRU,40,10,250,60,20,16-256:16,1024,
GRU,40,10,250,60,20,16-64:16,256,
GRU,40,10,250,60,20,16-64:16,1024,
GRU,40,10,250,60,20,200-260:20,256,
GRU,40,10,250,60,20,200-260:20,1024,
GRU,40,10,250,60,50,16-1024:16,256,
GRU,40,10,250,60,50,16-1024:16,1024,
GRU,40,10,250,60,50,16-256:16,256,
GRU,40,10,250,60,50,16-256:16,1024,
GRU,40,10,250,60,50,16-64:16,256,
GRU,40,10,250,60,50,16-64:16,1024,
GRU,40,10,250,60,50,200-260:20,256,
GRU,40,10,250,60,50,200-260:20,1024,
GRU,40,10,250,60,150,16-1024:16,256,
GRU,40,10,250,60,150,16-1024:16,1024,
GRU,40,10,250,60,150,16-256:16,256,
GRU,40,10,250,60,150,16-256:16,1024,
GRU,40,10,250,60,150,16-64:16,256,
GRU,40,10,250,60,150,16-64:16,1024,
GRU,40,10,250,60,150,200-260:20,256,
GRU,40,10,250,60,150,200-260:20,1024,
GRU,40,10,250,120,20,16-1024:16,256,
GRU,40,10,250,120,20,16-1024:16,1024,
GRU,40,10,250,120,20,16-256:16,256,
GRU,40,10,250,120,20,16-256:16,1024,
GRU,40,10,250,120,20,16-64:16,256,
GRU,40,10,250,120,20,16-64:16,1024,
GRU,40,10,250,120,20,200-260:20,256,
GRU,40,10,250,120,20,200-260:20,1024,
GRU,40,10,250,120,50,16-1024:16,256,
GRU,40,10,250,120,50,16-1024:16,1024,
GRU,40,10,250,120,50,16-256:16,256,
GRU,40,10,250,120,50,16-256:16,1024,
GRU,40,10,250,120,50,16-64:16,256,
GRU,40,10,250,120,50,16-64:16,1024,
GRU,40,10,250,120,50,200-260:20,256,
GRU,40,10,250,120,50,200-260:20,1024,
GRU,40,10,250,120,150,16-1024:16,256,
GRU,40,10,250,120,150,16-1024:16,1024,
GRU,40,10,250,120,150,16-256:16,256,
GRU,40,10,250,120,150,16-256:16,1024,
GRU,40,10,250,120,150,16-64:16,256,
GRU,40,10,250,120,150,16-64:16,1024,
GRU,40,10,250,120,150,200-260:20,256,
GRU,40,10,250,120,150,200-260:20,1024,
LSTM,40,10,250,60,20,16-1024:16,256,
LSTM,40,10,250,60,20,16-1024:16,1024,
LSTM,40,10,250,60,20,16-256:16,256,
LSTM,40,10,250,60,20,16-256:16,1024,
LSTM,40,10,250,60,20,16-64:16,256,
LSTM,40,10,250,60,20,16-64:16,1024,
LSTM,40,10,250,60,20,200-260:20,256,
LSTM,40,10,250,60,20,200-260:20,1024,
LSTM,40,10,250,60,50,16-1024:16,256,
LSTM,40,10,250,60,50,16-1024:16,1024,
LSTM,40,10,250,60,50,16-256:16,256,
LSTM,40,10,250,60,50,16-256:16,1024,
LSTM,40,10,250,60,50,16-64:16,256,
LSTM,40,10,250,60,50,16-64:16,1024,
LSTM,40,10,250,60,50,200-260:20,256,
LSTM,40,10,250,60,50,200-260:20,1024,
LSTM,40,10,250,60,150,16-1024:16,256,
LSTM,40,10,250,60,150,16-1024:16,1024,
LSTM,40,10,250,60,150,16-256:16,256,
LSTM,40,10,250,60,150,16-256:16,1024,
LSTM,40,10,250,60,150,16-64:16,256,
LSTM,40,10,250,60,150,16-64:16,1024,
LSTM,40,10,250,60,150,200-260:20,256,
LSTM,40,10,250,60,150,200-260:20,1024,
LSTM,40,10,250,120,20,16-1024:16,256,
LSTM,40,10,250,120,20,16-1024:16,1024,
LSTM,40,10,250,120,20,16-256:16,256,
LSTM,40,10,250,120,20,16-256:16,1024,
LSTM,40,10,250,120,20,16-64:16,256,
LSTM,40,10,250,120,20,16-64:16,1024,
LSTM,40,10,250,120,20,200-260:20,256,
LSTM,40,10,250,120,20,200-260:20,1024,
LSTM,40,10,250,120,50,16-1024:16,256,
LSTM,40,10,250,120,50,16-1024:16,1024,
LSTM,40,10,250,120,50,16-256:16,256,
LSTM,40,10,250,120,50,16-256:16,1024,
LSTM,40,10,250,120,50,16-64:16,256,
LSTM,40,10,250,120,50,16-64:16,1024,
LSTM,40,10,250,120,50,200-260:20,256,
LSTM,40,10,250,120,50,200-260:20,1024,
LSTM,40,10,250,120,150,16-1024:16,256,
LSTM,40,10,250,120,150,16-1024:16,1024,
LSTM,40,10,250,120,150,16-256:16,256,
LSTM,40,10,250,120,150,16-256:16,1024,
LSTM,40,10,250,120,150,16-64:16,256,
LSTM,40,10,250,120,150,16-64:16,1024,
LSTM,40,10,250,120,150,200-260:20,256,
LSTM,40,10,250,120,150,200-260:20,1024,
GRU,80,3,38,60,20,16-1024:16,256,
GRU,80,3,38,60,20,16-1024:16,1024,
GRU,80,3,38,60,20,16-256:16,256,
GRU,80,3,38,60,20,16-256:16,1024,
GRU,80,3,38,60,20,16-64:16,256,
GRU,80,3,38,60,20,16-64:16,1024,
